Name,Ticker,Weight,Sector
CME Group Inc. Class A,CME,0.186142,Financials
Marsh & McLennan Companies Inc.,MMC,0.185449,Financials
Cognizant Technology Solutions Corporation Class A,CTSH,0.185011,Information Technology
Yahoo! Inc.,YHOO,0.184901,Information Technology
Travelers Companies Inc.,TRV,0.184054,Financials
Emerson Electric Co.,EMR,0.182157,Industrials
Public Storage,PSA,0.181391,Financials
Capital One Financial Corporation,COF,0.181348,Financials
Prudential Financial Inc.,PRU,0.179304,Financials
Anthem Inc.,ANTM,0.178538,Health Care
Praxair Inc.,PX,0.176069,Materials
American Electric Power Company Inc.,AEP,0.175877,Utilities
Intercontinental Exchange Inc.,ICE,0.174664,Financials
eBay Inc.,EBAY,0.174239,Information Technology
Exelon Corporation,EXC,0.173535,Utilities
Cigna Corporation,CI,0.173442,Health Care
Ecolab Inc.,ECL,0.172746,Materials
Boston Scientific Corporation,BSX,0.171692,Health Care
Crown Castle International Corp,CCI,0.171691,Financials
Regeneron Pharmaceuticals Inc.,REGN,0.17129,Health Care
S&P Global Inc.,SPGI,0.167818,Financials
PG&E Corporation,PCG,0.167201,Utilities
Kroger Co.,KR,0.164209,Consumer Staples
Eaton Corp. Plc,ETN,0.161837,Industrials
BB&T Corporation,BBT,0.1615,Financials
Aflac Incorporated,AFL,0.160635,Financials
NVIDIA Corporation,NVDA,0.15784,Information Technology
Alexion Pharmaceuticals Inc.,ALXN,0.157779,Health Care
Constellation Brands Inc. Class A,STZ,0.155286,Consumer Staples
Aon plc,AON,0.154032,Financials
Johnson Controls Inc.,JCI,0.153901,Consumer Discretionary
Air Products and Chemicals Inc.,APD,0.153569,Materials
Intuit Inc.,INTU,0.153,Information Technology
Applied Materials Inc.,AMAT,0.152356,Information Technology
Prologis Inc.,PLD,0.151422,Financials
Delta Air Lines Inc.,DAL,0.149889,Industrials
Welltower Inc.,HCN,0.14923,Financials
Pioneer Natural Resources Company,PXD,0.148845,Energy
Twenty-First Century Fox Inc. Class A,FOXA,0.148482,Consumer Discretionary
O'Reilly Automotive Inc.,ORLY,0.14802,Consumer Discretionary
PPG Industries Inc.,PPG,0.147433,Materials
Waste Management Inc.,WM,0.145614,Industrials
Cardinal Health Inc.,CAH,0.145235,Health Care
Sysco Corporation,SYY,0.143656,Consumer Staples
State Street Corporation,STT,0.1426,Financials
Anadarko Petroleum Corporation,APC,0.142344,Energy
CSX Corporation,CSX,0.142339,Industrials
Baxter International Inc.,BAX,0.142225,Health Care
Humana Inc.,HUM,0.14193,Health Care
Intuitive Surgical Inc.,ISRG,0.139865,Health Care
Dollar General Corporation,DG,0.139818,Consumer Discretionary
Norfolk Southern Corporation,NSC,0.139391,Industrials
Allstate Corporation,ALL,0.13858,Financials
Archer-Daniels-Midland Company,ADM,0.138072,Consumer Staples
Zimmer Biomet Holdings Inc.,ZBH,0.136595,Health Care
Equinix Inc.,EQIX,0.135305,Financials
LyondellBasell Industries NV,LYB,0.134682,Materials
Sempra Energy,SRE,0.134064,Utilities
AvalonBay Communities Inc.,AVB,0.133536,Financials
Ventas Inc.,VTR,0.133473,Financials
Valero Energy Corporation,VLO,0.131416,Energy
